ArrayIndex,StringIndex,IpAddress,DestinationType,DestinationIndex,CollectionSegmentIndex,EnergySegmentIndex
5,27,10.0.5.77,Phoenix,5,85,99
5,28,10.0.5.78,Phoenix,5,85,99
5,29,10.0.5.82,Phoenix,5,85,100
5,30,10.0.5.83,Phoenix,5,85,100
5,31,10.0.5.87,Phoenix,5,85,101
5,32,10.0.5.88,Phoenix,5,85,101
5,33,10.0.5.92,Phoenix,5,85,102
5,34,10.0.5.93,Phoenix,5,85,102
5,35,10.0.5.97,Phoenix,5,85,103
5,36,10.0.5.98,Phoenix,5,85,103
5,37,10.0.5.102,Phoenix,5,85,104
5,38,10.0.5.103,Phoenix,5,85,104
5,39,10.0.5.107,Phoenix,5,85,105
5,40,10.0.5.108,Phoenix,5,85,105
6,1,10.0.6.12,Phoenix,6,106,107
6,2,10.0.6.13,Phoenix,6,106,107
6,3,10.0.6.17,Phoenix,6,106,108
6,4,10.0.6.18,Phoenix,6,106,108
6,5,10.0.6.22,Phoenix,6,106,109
6,6,10.0.6.23,Phoenix,6,106,109
6,7,10.0.6.27,Phoenix,6,106,110
6,8,10.0.6.28,Phoenix,6,106,110
6,9,10.0.6.32,Phoenix,6,106,111
6,10,10.0.6.33,Phoenix,6,106,111
6,11,10.0.6.37,Phoenix,6,106,112
6,12,10.0.6.38,Phoenix,6,106,112
6,13,10.0.6.42,Phoenix,6,106,113
6,14,10.0.6.43,Phoenix,6,106,113
6,15,10.0.6.47,Phoenix,6,106,114
6,16,10.0.6.48,Phoenix,6,106,114
6,17,10.0.6.52,Phoenix,6,106,115
6,18,10.0.6.53,Phoenix,6,106,115
6,19,10.0.6.57,Phoenix,6,106,116
6,20,10.0.6.58,Phoenix,6,106,116
6,21,10.0.6.62,Phoenix,6,106,117
6,22,10.0.6.63,Phoenix,6,106,117
6,23,10.0.6.67,Phoenix,6,106,118
6,24,10.0.6.68,Phoenix,6,106,118
6,25,10.0.6.72,Phoenix,6,106,119
6,26,10.0.6.73,Phoenix,6,106,119
6,27,10.0.6.77,Phoenix,6,106,120
6,28,10.0.6.78,Phoenix,6,106,120
6,29,10.0.6.82,Phoenix,6,106,121
6,30,10.0.6.83,Phoenix,6,106,121
6,31,10.0.6.87,Phoenix,6,106,122
6,32,10.0.6.88,Phoenix,6,106,122
6,33,10.0.6.92,Phoenix,6,106,123
6,34,10.0.6.93,Phoenix,6,106,123
6,35,10.0.6.97,Phoenix,6,106,124
6,36,10.0.6.98,Phoenix,6,106,124
6,37,10.0.6.102,Phoenix,6,106,125
6,38,10.0.6.103,Phoenix,6,106,125
6,39,10.0.6.107,Phoenix,6,106,126
6,40,10.0.6.108,Phoenix,6,106,126
7,1,10.0.7.12,Phoenix,7,127,128
7,2,10.0.7.13,Phoenix,7,127,128
7,3,10.0.7.17,Phoenix,7,127,129
7,4,10.0.7.18,Phoenix,7,127,129
7,5,10.0.7.22,Phoenix,7,127,130
7,6,10.0.7.23,Phoenix,7,127,130
7,7,10.0.7.27,Phoenix,7,127,131
7,8,10.0.7.28,Phoenix,7,127,131
7,9,10.0.7.32,Phoenix,7,127,132
7,10,10.0.7.33,Phoenix,7,127,132
7,11,10.0.7.37,Phoenix,7,127,133
7,12,10.0.7.38,Phoenix,7,127,133
7,13,10.0.7.42,Phoenix,7,127,134
7,14,10.0.7.43,Phoenix,7,127,134
7,15,10.0.7.47,Phoenix,7,127,135
7,16,10.0.7.48,Phoenix,7,127,135
7,17,10.0.7.52,Phoenix,7,127,136
7,18,10.0.7.53,Phoenix,7,127,136
7,19,10.0.7.57,Phoenix,7,127,137
7,20,10.0.7.58,Phoenix,7,127,137
7,21,10.0.7.62,Phoenix,7,127,138
7,22,10.0.7.63,Phoenix,7,127,138
7,23,10.0.7.67,Phoenix,7,127,139
7,24,10.0.7.68,Phoenix,7,127,139
7,25,10.0.7.72,Phoenix,7,127,140
7,26,10.0.7.73,Phoenix,7,127,140
7,27,10.0.7.77,Phoenix,7,127,141
7,28,10.0.7.78,Phoenix,7,127,141
7,29,10.0.7.82,Phoenix,7,127,142
7,30,10.0.7.83,Phoenix,7,127,142
7,31,10.0.7.87,Phoenix,7,127,143
7,32,10.0.7.88,Phoenix,7,127,143
7,33,10.0.7.92,Phoenix,7,127,144
7,34,10.0.7.93,Phoenix,7,127,144
7,35,10.0.7.97,Phoenix,7,127,145
7,36,10.0.7.98,Phoenix,7,127,145
7,37,10.0.7.102,Phoenix,7,127,146
7,38,10.0.7.103,Phoenix,7,127,146
7,39,10.0.7.107,Phoenix,7,127,147
7,40,10.0.7.108,Phoenix,7,127,147
8,1,10.0.8.12,Phoenix,8,148,149
8,2,10.0.8.13,Phoenix,8,148,149
8,3,10.0.8.17,Phoenix,8,148,150
8,4,10.0.8.18,Phoenix,8,148,150
8,5,10.0.8.22,Phoenix,8,148,151
8,6,10.0.8.23,Phoenix,8,148,151
8,7,10.0.8.27,Phoenix,8,148,152
8,8,10.0.8.28,Phoenix,8,148,152
8,9,10.0.8.32,Phoenix,8,148,153
8,10,10.0.8.33,Phoenix,8,148,153
8,11,10.0.8.37,Phoenix,8,148,154
8,12,10.0.8.38,Phoenix,8,148,154
8,13,10.0.8.42,Phoenix,8,148,155
8,14,10.0.8.43,Phoenix,8,148,155
8,15,10.0.8.47,Phoenix,8,148,156
8,16,10.0.8.48,Phoenix,8,148,156
8,17,10.0.8.52,Phoenix,8,148,157
8,18,10.0.8.53,Phoenix,8,148,157
8,19,10.0.8.57,Phoenix,8,148,158
8,20,10.0.8.58,Phoenix,8,148,158
8,21,10.0.8.62,Phoenix,8,148,159
8,22,10.0.8.63,Phoenix,8,148,159
8,23,10.0.8.67,Phoenix,8,148,160
8,24,10.0.8.68,Phoenix,8,148,160
8,25,10.0.8.72,Phoenix,8,148,161
8,26,10.0.8.73,Phoenix,8,148,161
8,27,10.0.8.77,Phoenix,8,148,162
8,28,10.0.8.78,Phoenix,8,148,162
8,29,10.0.8.82,Phoenix,8,148,163
8,30,10.0.8.83,Phoenix,8,148,163
8,31,10.0.8.87,Phoenix,8,148,164
8,32,10.0.8.88,Phoenix,8,148,164
8,33,10.0.8.92,Phoenix,8,148,165
8,34,10.0.8.93,Phoenix,8,148,165
8,35,10.0.8.97,Phoenix,8,148,166
8,36,10.0.8.98,Phoenix,8,148,166
8,37,10.0.8.102,Phoenix,8,148,167
8,38,10.0.8.103,Phoenix,8,148,167
8,39,10.0.8.107,Phoenix,8,148,168
8,40,10.0.8.108,Phoenix,8,148,168
